Modismo;Definición Sonar;Definiciones Reales;Acorde;;
tacón puntilla;Mujer de figura esbelta y atractiva con cintura delgada y glúteos prominentes.;en un zapato, pieza en forma de una puntilla larga que se une a la suela;0;;
muchilero;Ave del género Cacicus de plumaje negro con pintas amarillas, conocida también como oropéndola.;dicho de un medio de transporte público, que para en muchos sitios;0;;
maloca;Casa comunal tradicional de forma circular construida con madera y hojas de palma por los indígenas amazónicos colombianos.;Vivienda hecha con material vegetal, paredes y columnas en madera, techo elaborado con hoja de palma tejida, piso de tierra pisada, de planta circular o rectangular que sirve de vivienda y centro ceremonial de los indígenas amazónicos.;1;;
faltonear;Incumplir compromisos, promesas o deberes, o traicionar intencionadamente la confianza de un amigo.;Incumplir las promesas hechas o los deberes adquiridos. | Romper la confianza y la lealtad intencionadamente hacia un amigo.;1;;
sebo;En jerga colombiana, persona aburrida o pesada que fastidia con su actitud o comentarios.;Molestar a alguien, fastidiar con bromas pesadas.;1;;
dejar;Abandonar, renunciar o apartar algo o a alguien, ya sea de forma temporal o definitiva, liberándose de su posesión, cuidado o continuidad.;Terminar una relación amorosa. | dar el último toque las campanas para llamar a los fieles a la misa;1;;
masato de maíz pelado;Bebida tradicional colombiana, espesa y ligeramente fermentada, elaborada con harina o masa de maíz pelado endulzada y aromatizada, consumida fría o a temperatura ambiente en celebraciones y como refresco.;el de maíz hervido, puesto en reposo durante algún tiempo, luego lavado con ceniza para quitarle el hollejo y, finalmente, molido;1;;
carrucha;Carrucha designa un vehículo viejo o en mal estado.;Juego infantil que consiste en un disco giratorio con dos orificios a través de los cuales se pasan dos cuerdas, se gira hasta enrollar las cuerdas y al acercar y separar las manos se produce un zumbido.;0;;
desgualetado;Persona desarreglada o descuidada en su aspecto y vestimenta, que muestra falta de arreglo o pulcritud.;dicho de una persona, desaliñada, mal vestida | Referido a un hecho, exagerado, desproporcionado. | Referido a una persona, mal arreglada en su forma de vestir.;1;;
bar;Lugar de venta de bebidas alcohólicas en malas condiciones, peligroso o frecuentado por gente de baja clase social.;Mueble que se usa para guardar bebidas alcohólicas.;0;;
copito;Palillo con torunda de algodón en los extremos usado para higiene y cosmética personal.;Referido a una persona, canosa. | Palito de plástico cuyos extremos están forrados en algodón, que se usa para el aseo personal.;0;;
teatro;Actuación o montaje fingido presentado para impresionar, distraer o manipular a otras personas en un contexto social.;Local o sala donde se proyectan películas al público.;0;;
gozarse;Burlarse o ridiculizar a alguien de forma jocosa dentro de contextos coloquiales colombianos.;disfrutar plenamente de algo | Besarse con alguien con quien no se tiene una relación sentimental.;0;;
gaita;Instrumento musical aerófono de la Costa Caribe colombiana, construido con el corazón del cardón y utilizado en ritmos como porro, cumbia y puya.;La que tiene dos orificios digitales en su parte inferior, y sirve para marcar el compás. | La que tiene cinco orificios digitales en su cuerpo, y se usa para llevar la melodía. | especie de flauta vertical confeccionada con largos fotutos del corazón del cardón y en el extremo superior tiene adaptada una ocarina de cera de abeja y polvo de carbón vegetal;0;;
capamicos;Tunante, pícaro, hábil por sus mañas, resabios y follonerías.;tunante, pícaro, hábil por sus mañas y resabios;1;;
rondador;Zampoña, instrumento musical compuesto por una serie de canutos de carrizo de distintos tamaños.;Instrumento musical formado por un conjunto de tubos organizados en forma descendente, unidos por una abrazadera. | zampoña, instrumento musical parecido a la flauta, con varios tubos de caña escalonados;1;;
ranga;En Colombia, persona o cosa inútil, de mala calidad, bruta, torpe o tosca.;Caballo flaco y débil.;0;;
lobera;Prenda, detalle o actitud exagerada y de mal gusto que resulta ostentosa, ridícula u ordinaria.;Algo de mal gusto, escandaloso u ordinario.;1;;
bahareque;Pared de palos o cañas entretejidos y recubierta de barro, técnica tradicional de construcción en Colombia.;Material elaborado con barro y paja que se usa para rellenar y dar consistencia a una estructura de palos entretejidos utilizada en la construcción, especialmente de paredes de casas rústicas. | pared de palos entretejidos con cañas y barro;1;;
guanga;En Colombia, adjetivo coloquial que describe algo o alguien blando, flojo o sin firmeza en su textura o carácter.;Telar vertical artesanal para la fabricación de diferentes tejidos como cobijas, ruanas, alfombras entre otros.;0;;
boda;Ceremonia social y festiva que celebra la unión matrimonial entre dos personas y sus familiares.;Reunión informal en la que los participantes dan un aporte en dinero o en especies para la preparación de un plato que se comparte en la celebración.;1;;
carón;Persona de rostro voluminoso o, en lenguaje coloquial y vulgar, hombre con genitales muy grandes.;Referido a una persona, que tiene el rostro grande. | Referido a una persona, desvergonzada, descarada, o que es negligente en su actuar. | desvergonzado, cínico;1;;
azogado;Persona nerviosa, temblorosa o sobresaltada, a menudo por miedo, inquietud o por haber estado expuesta a vapores de mercurio.;dicho de una persona, muy inquieta;1;;
despulpadora;Máquina o dispositivo empleado para separar y extraer la pulpa comestible de frutas u otros vegetales, descartando semillas, cáscaras y residuos en el proceso.;En el cultivo del café, máquina utilizada para separar la pulpa de la semilla.;1;;
calceto;Persona incumplidora, falsa o que no cumple lo prometido.;dicho de una persona, que no cumple sus promesas. [ .] y si los paeces no lo han hecho, es porque el gobierno les salió calceto. (alfredo molano, en | Referido a una persona, desleal o que suele quedar mal o incumplir lo acordado. | dicho de un ave doméstica como el gallo o la gallina, calzada, con plumas en las patas;1;;
apuñalear;Traicionar a alguien robándole el dinero.;Estudiar arduamente para una prueba académica o para comprender un tema. | Herir gravemente a alguien con un puñal o arma semejante. | Tener dinero.;0;;
cuentear;Engañar o embaucar a alguien mediante historias, promesas o exageraciones con el fin de obtener algún beneficio.;Engañar a una persona usando promesas o argumentos falsos. | Contarle a alguien los intereses personales para obtener de ella un beneficio.;1;;
bloqueador;Persona u objeto que impide o obstaculiza el avance, la comunicación o el acceso en un contexto social, físico o digital.;Producto que se aplica sobre la piel para protegerla de los efectos del sol.;0;;
salchipapa;Plato de comida rápida compuesto por papas fritas y rodajas de salchicha frita, usualmente servido con salsas.;Comida rápida que consiste en papas a la francesa, con trozos de salchicha frita y alguna salsa.;1;;
jabón;Persona hábil para esquivar golpes o puñaladas en el bajo mundo, extremadamente peligrosa y peleona.[3];Árbol de hasta 15 m de altura, de madera fina, flores blancas y frutos tipo nuez que al frotarlos producen espuma.;0;;
taque;Interjección coloquial usada en Colombia para imitar o marcar el sonido de un golpe o palmada, empleada también para llamar la atención de manera breve y enérgica.;Plato tradicional de hortalizas, legumbres y frutas que se cocinan y luego se marinan durante ocho días con diversos aliños, agua aceite y vinagre en una olla de barro.;0;;
hatillo;Paquete pequeño de ropa o enseres envuelto en un pañuelo o trapo, típico de campesinos o vagabundos.;atado o sobrecarga pequeña que les ponen a veces a las bestias;0;;
pluma;Llave o grifo del agua, término usado en varias regiones de Colombia, especialmente la costa caribe y Antioquia.;Llave que va al final de una tubería para regular el paso del líquido que circula por ella.;1;;
habano;Banano, plátano que se come crudo.;banano, plátano que se come crudo | Tipo de plátano de forma alargada y curva, de cáscara amarilla y pulpa blanda y amarillenta que se come crudo.;1;;
cacharrea;Acción de manipular, experimentar o intentar arreglar aparatos, equipos o programas sin ser profesional, generalmente probando hasta encontrar una solución.;tratar de arreglar algún aparato sin ser muy experto en el oficio. estuvo cacharreando con la cicla;0;;
papachina;Persona torpe o alocada que actúa de manera ingenua o distraída, propensa a meter la pata en situaciones sociales.;Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón parecido al ñame o a la yuca.;0;;
descuajado;Estado de malestar infantil caracterizado por diarrea, vómito y fiebre, atribuido popularmente al desprendimiento del cuajo.;En la tradición popular y referido especialmente a un niño, enfermo con diarrea y otros síntomas a causa de una lesión en la cavidad abdominal en la que un golpe o una fuerte impresión alteran la disposición normal de los órganos internos.;1;;
fundamento;Base sólida o motivo principal que sustenta una idea, acción o argumento en un contexto práctico o discursivo.;Cuidado.;0;;
ñóñora;Mujer mayor de carácter impositivo o entrometido, a menudo meticulosa en asuntos domésticos o morales.;úlcera crónica y purulenta, de tamaño grande, que generalmente hiede y suele estar oculta;0;;
choncho;Persona gorda, obesa y de movimientos lentos.;Referido a una persona, gorda y de estatura baja. | Cerdo, marrano.;1;;
caleta;Lugar secreto usado por delincuentes para diversos fines ilícitos.;Lugar secreto usado por delincuentes para esconder personas o bienes con fines ilícitos.;1;;
guardaescobas;Franja horizontal, por lo general de madera, colocada en la parte inferior de una pared como elemento decorativo y de protección.;Borde horizontal, hecho generalmente del mismo material de los pisos y superpuesto a ellos, que se usa como decoración o protección.;1;;
trabarse;Atraparse o bloquearse al hablar o al intentar realizar una acción, provocando tartamudeo o incapacidad momentánea para continuar.;ponerse bajo los efectos de un alucinógeno | Ponerse alguien bajo los efectos de una sustancia alucinógena.;0;;
trapeador;Utensilio doméstico para limpiar pisos, consistente en un palo largo con otro cruzado en forma de T al que se coloca un trozo de tela.;utensilio de aseo para limpiar el piso que consta de un palo y tiras de lana o tela en su parte inferior | Utensilio doméstico que consta de un mango largo y un manojo de tiras absorbentes en el extremo.;1;;
mil;Expresión coloquial usada para referirse de forma informal y enfática a una gran cantidad o multitud de cosas o personas.;Con gran rapidez o intensidad.;0;;
descabezar;Destituir o expulsar a alguien de un cargo o empleo.;Destituir a una persona de su cargo. | destituir a una persona de un cargo o empleo, o frustrarle una aspiración;1;;
riego;Estar atento o alerta ante chismes o cambios climáticos.;porción de tierra húmeda destinada a una sementera;0;;
fogonazo;Golpe sonoro y repentino producido por un disparo o por una llamarada breve y potente.;Disparo que proviene de un arma de fuego.;1;;
